,runtime,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film
564,-0.15735514018708532,1,-1.435794242108915,-0.2763865568668217,0,-0.19448872916514556,1,1,0,0,0.11666659842509014,-1.4383062371886408,-1.3650523754101704,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.7395974493980986,1.8492075694523693,1,0.1598506838137239,-0.4978121024290874,-0.5848702710993632,0,0,0,1,-0.500349896772829,1,0,0
949,0.13296091424425122,1,1.0776434427630606,-0.2763865568668217,0,1.0831112376545433,0,1,0,0,0.11666659842509014,-1.4383062371886408,0.9144100848100111,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.7658075848421486,-0.791644876689231,1,-0.5771599911150389,-0.5006418445363989,1.2779992220581637,0,0,0,1,0.8399189783872938,1,0,0
2777,0.18134692331614063,0,-2.142698590979158,-0.5713624451446244,0,-0.5962360471703814,0,0,0,0,0.8213918370817433,-1.2468593807760893,-2.1248731954835645,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.8228302160912931,-0.45081000205104355,-0.865241873660352,0,0,0,0,0.39316268666725285,1,0,0
510,0.18134692331614063,1,1.0776434427630606,-0.5713624451446244,0,1.200571329272447,0,0,0,0,0.8213918370817433,-1.2468593807760893,0.9144100848100111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,-0.2343580321245204,-0.1822173891180925,1,-0.33148976613878467,0.09781715168785804,1.159315735380779,0,0,0,1,0.8399189783872938,1,0,0
1030,-0.6412152309059795,1,-0.10053047202067798,0.018589331410981062,0,0.05644572865861347,1,1,0,0,-0.5880586402315634,-1.2468593807760893,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0065939381026797255,0.2240676025959998,1,0.40552090878997815,-0.008625416670462318,-0.14464704804038006,0,0,0,0,-0.500349896772829,1,0,0
338,-1.125075321624874,1,0.8420086598063128,-0.5713624451446244,0,-0.8565200009530416,0,0,0,0,0.8213918370817433,-1.2468593807760893,0.9144100848100111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0065939381026797255,0.2240676025959998,1,-0.33148976613878467,0.027544115308477987,-0.49500952891680766,0,0,0,1,0.8399189783872938,1,0,0
1074,-0.689601239977869,1,0.21364923858831894,-1.16131422170023,0,0.6347587927165294,0,0,0,0,1.5261170757383973,-0.009327447026668153,0.15458926473661724,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.5000828084833344,-0.5885023808321848,1,0.8968613587424867,-0.011340866947883319,1.6274676896018085,0,0,0,1,-0.500349896772829,1,0,0
2387,0.568434995891256,1,-0.4147101826296749,-1.4562901099780325,0,0.5770137539833209,0,0,0,0,1.3372865171545165,0.7051619480543181,-0.6052315553367766,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6519255378312282,-0.9947873725462771,1,3.844904058457538,0.1502970772968933,-0.1578976759984696,0,0,0,1,-0.05359360505278807,1,0,0
3546,-0.5928292218340901,1,0.1351043109360697,-0.866338333422427,0,-0.15015330801006044,1,0,0,0,1.3372865171545167,-0.7238168421076542,0.15458926473661724,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8796896318530689,-0.791644876689231,1,-0.8228302160912931,-0.45081000205104355,-0.8573911991091512,0,0,0,0,0.39316268666725285,1,0,0
1235,0.37489095960369834,1,0.3707390938928174,0.018589331410981062,0,0.5770137539833209,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.15458926473661724,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7526197086367891,0.8334950901671383,1,0.8968613587424867,0.013547965730092088,0.087416070105665,0,0,0,1,0.39316268666725285,1,0,0
