,log_revenue
1053,17.761970013037892
2635,16.28646169769967
966,18.346210904794216
3093,17.761970013037892
1569,17.93777666051572
2851,17.761970013037892
1582,17.168045532295746
1264,16.705147712772316
1687,17.87408637811931
1073,19.42466153612519
45,20.312052517984124
465,18.63798427549918
515,19.838473774554107
201,19.166513406357023
2273,17.418016649695787
1370,18.359457382927378
3829,17.761970013037892
473,19.08627517475134
680,20.062862555574338
3699,15.397577479152067
774,16.781930491902312
339,17.218020178264577
109,19.391907295755736
1830,18.90892281210294
470,18.57935030111376
3381,14.66402467840726
2198,17.761970013037892
340,18.24663465482481
2748,15.90850496821227
536,19.479801832755623
1535,18.88648984470036
3507,17.761970013037892
3420,15.740116956458577
752,19.707739518680587
2173,18.554171340744748
74,19.668631759263015
3458,15.485206907530324
602,17.772266269103728
2288,17.761970013037892
1857,17.761970013037892
2784,16.554981968345718
2188,17.761970013037892
3231,17.118273531164952
1274,18.5436633583398
2143,17.040280458590782
1773,17.761970013037892
1712,18.5271200555006
1758,16.73611300668165
3284,17.761970013037892
2182,18.437012472288835
2927,17.761970013037892
962,18.827252752553417
3625,17.761970013037892
2511,17.284397771414664
860,13.12599477588836
3332,16.18130507048152
70,20.65948728189478
2235,18.01971033951271
3184,10.746971004451137
2826,17.761970013037892
3046,14.845668758547014
896,18.3200468844789
292,19.516851751784547
1421,18.18981849246888
3557,17.761970013037892
888,17.956771959349123
3495,15.493699606002895
1847,19.19026900641899
2672,17.761970013037892
951,19.572392877712208
1894,15.3016504802982
2095,16.18540012457009
3828,17.11134746100564
2895,16.698790394193843
175,16.500702010585623
3164,17.761970013037892
952,18.223292118822364
1492,16.30100628421266
964,18.8426774097469
344,19.63731323126261
3834,17.761970013037892
1365,17.849840855813934
722,19.33777115999389
1216,17.89673256146788
72,19.94159434202951
929,18.642872346306905
3052,17.157794032868882
1381,18.95105488626105
3365,16.59922219064373
2654,16.647552569219172
3563,17.761970013037892
2185,17.84637855941368
3146,14.420563411719694
3802,10.043292972227004
2382,16.48273883399067
2154,18.099477681884736
2944,17.670562517880285
1443,18.550976062382347
1727,18.856667866639494
1409,16.79618832901553
3801,11.18310108232048
2629,16.509883449648857
2569,18.172226910266573
1391,16.698580668036232
2632,17.761970013037892
2104,18.586731521625204
15,20.585575367339324
1709,16.948588945083998
35,21.063590425863644
2548,17.358402708540517
414,18.33414010705632
452,19.476754965795617
1060,18.760466520446062
3513,15.373655386537118
2649,17.761970013037892
2261,16.486896843851184
135,20.01982336123996
1003,19.21219351361422
2553,17.43497452451595
2443,15.76466244689842
2963,16.578276759307847
3384,16.240459290722136
3065,17.761970013037892
3517,16.665776615666065
124,20.1945995779185
2926,17.761970013037892
954,15.526675472834972
2129,17.90821901583061
569,19.19170286735747
3793,17.761970013037892
299,19.983446250283592
1900,17.690245089462
2697,11.92024219110853
2487,15.525836700278123
3297,17.761970013037892
733,18.584767316056137
254,19.96928703327174
1848,17.48043184346782
3894,13.24563001725029
2834,17.34059406165384
1705,18.862447436906677
349,18.652120371465983
2018,11.610034026715931
2690,16.926414638660763
3339,16.99266410818165
974,18.53232456424256
1482,17.646716012271884
1800,17.934373180958097
361,16.328569924831857
3710,16.154648577963272
3771,3.258096538021482
3691,16.455385767310418
2655,15.76142084987672
2260,17.607644168417995
3296,17.761970013037892
71,18.583640183911157
1614,17.571505545802186
3129,17.761970013037892
1356,18.69419555551126
3002,17.18317935287344
2268,17.761970013037892
1641,16.065731256832404
2707,17.21362606218365
3246,17.18977806372784
3292,15.673980562797748
1147,19.36855631746733
3484,17.01977901278636
893,18.339263628045728
3619,19.08170320196109
1532,18.070313592566237
3459,17.761970013037892
960,17.00440417496742
362,19.71062625103256
2389,17.698072352588678
106,20.78808841523593
1441,18.084998810958957
2341,16.42705543869944
2681,17.335118185952478
120,18.70217649048812
981,17.288974088092335
2668,13.357503481462716
1470,18.100884087763472
2166,18.17221939747438
3497,16.300417291085605
1609,17.761970013037892
523,19.615947901863972
1108,18.55045852307596
435,18.627036615405338
2756,17.234924211286376
719,19.004088027793053
60,20.591662279709663
1039,19.274252720843023
