,popularity,runtime,vote_average,vote_count,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film,vote_reliability,log_vote_count
1664,-0.28888117679905406,-0.4960572036903113,-1.0647124259401854,-0.2798542653226499,1,0.05655938328382048,1.198492884522192,0,0.8765121887192638,0,0,1,0,-0.5880586402315643,1.2282044867227522,0.15458926473661724,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.41097356760402814,0.6303525943100922,1,0.1598506838137239,0.8311335815340598,0.23620570624322387,0,0,0,1,-0.05359360505278807,1,0,0,1,0.2600793007783669
1004,-0.16402248123657892,-0.3992851855465325,0.27319059092305714,0.048222631088118896,1,0.6849188045018143,0.6085411079665866,0,-0.12935303577146795,1,0,0,1,-1.2927838788882173,-0.009327447026668503,0.9144100848100111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.1584366674505735,-0.5885023808321848,1,0.1598506838137239,-0.30234177673048607,-0.7515093924973716,0,0,0,0,0.8399189783872938,1,0,0,1,0.6732722198799024
3723,-0.7936003008679163,0.7619790321788138,-0.4472187258494584,-0.6138424571642433,0,0.8420086598063128,-0.5713624451446244,0,-0.24305268796049762,1,0,0,0,0.8213918370817433,-1.2468593807760893,0.9144100848100111,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,0,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,0,-0.05359360505278807,1,0,0,0,-1.8659960677787595
3708,-0.7064745094965532,-0.8831452762654267,-1.990952976076277,-0.6123646333065371,1,0.6849188045018143,-0.2763865568668217,0,-0.24305268796049762,1,1,0,0,0.11666659842509014,-1.4383062371886408,0.9144100848100111,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2723187144614938,-0.1822173891180925,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,0,0.39316268666725285,1,0,0,0,-1.7886008735819774
1024,0.22073164416100696,-0.30251316740275364,0.9935999076955726,0.030488744795644913,1,0.21364923858831894,0.6085411079665866,0,-0.036453654122577436,1,0,0,1,-1.2927838788882173,-0.009327447026668503,0.15458926473661724,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22117015591916092,0.020925106738953654,1,-0.5771599911150389,8.53713296942315,4.699245586428508,0,0,0,1,-0.500349896772829,1,0,0,1,0.6567634437061285
87,0.6120665288583297,2.3587173315511647,-0.6530499592130343,2.9986979629984787,1,0.5278289491973158,0.9035169962443892,0,1.2833805666672242,0,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.8417289495160954,-0.791644876689231,1,0.8968613587424867,1.562755763746051,-0.5268226194592159,0,0,0,1,0.39316268666725285,1,1,0,1,1.7141258498810505
1328,-0.23231428614720415,-0.6412152309059795,-0.6530499592130343,-0.14832794198680113,1,-0.021985544368428755,-0.2763865568668217,0,0.5770137539833209,0,1,0,0,0.11666659842509014,-1.4383062371886408,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044554620439653164,0.020925106738953654,1,-0.08581954116253038,-0.31271632572375185,0.6591105399786573,0,0,0,1,0.39316268666725285,1,0,0,1,0.45975899474817256
1572,-0.30397216166090385,-0.15735514018708532,0.8906842910137842,-0.24808105238196732,1,0.3707390938928174,0.9035169962443892,0,-0.15015330801006044,1,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41097356760402814,0.42721009845304597,1,-0.08581954116253038,-0.5536031660845064,-0.6706337975176264,0,0,0,0,-0.05359360505278807,1,0,0,1,0.3145448739809489
2336,-0.33232482969095234,-0.44767119461842186,-0.03555625912230638,-0.44832618510115274,1,0.3707390938928174,0.6085411079665866,0,-0.24305268796049762,1,0,0,1,-1.2927838788882173,-0.009327447026668503,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3599906260283643,0.6303525943100922,1,-0.5771599911150389,-0.8495972414875542,-0.4907891936012031,0,0,0,0,-0.05359360505278807,1,0,0,1,-0.15413518087907055
851,0.7303708356750198,0.37489095960369834,1.09651552437736,0.17162092320658373,1,-0.021985544368428755,0.018589331410981062,0,0.8164974979455211,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.15458926473661724,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4241614438093876,-0.5885023808321848,1,0.6511911337662325,2.4095690979727116,1.895730889343437,0,0,0,1,-0.05359360505278807,1,0,0,1,0.7773535612094776
